Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C 10 uF,C1206,14.3,25.924999,0,bottom
C2,C 100nF,C0805,13.849987,19.860915,0,bottom
C3,1uF,C0603,18,33.199999,0,bottom
C4,C 22 uF,C1206,20.1,15.2,90,bottom
C5,C 22 uF,C1206,24.3,15.2,90,bottom
C6,1uF,C0603,18.175,31.099999,0,bottom
C7,10uF,C1206,21.375,21.899999,0,bottom
C8,220pF,C0603,27.1,34.874999,-90,bottom
C9,220pF,C0603,27.05,38.299999,90,bottom
C10,100nF,C0805,22.05,19.65,0,bottom
FB1,Ferrite,L0603,25.025,38.249999,-90,bottom
FB2,Ferrite,L0603,25.05,34.874999,90,bottom
J1,Conn_02x13_Odd_Even,HDR-TH_26P-P2.54-V-F-R2-C13-S2.54-1,21.7,9.399999,180,bottom
J2,Conn_02x13_Odd_Even,HDR-TH_26P-P2.54-V-F-R2-C13-S2.54-1,21.694,47.524872,180,bottom
L1,3.3 u H,IND-SMD_L5.2-W5.2_IHLP2020CZER2R2M11,14.725,15.349999,0,bottom
R1,54.9k,R0603,17.125,20.224999,90,bottom
R2,10k,R0201,17.316541,22.685915,0,bottom
R3,10K,R1206,23.1,27.149999,0,bottom
R4,100,R1206,12.975,31.974999,90,bottom
R5,100,R1206,17.625,28.724999,0,bottom
U1,TPS562201DDCR,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,14.125,22.949999,180,bottom
U2,PAM8302AASCR,MSOP-8_L3.0-W3.0-P0.65-LS5.0-BL,22.088208,32.329101,180,bottom
J3,B3B-PH-SM4-TB(LF)(SN),CONN-SMD_B3B-PH-SM4-TB-LF-SN,17.975,17.262051,0,top
J4,~,CONN-TH_22035035,5.72013,42.418503,0,top
J5,~,CONN-TH_22035035,5.75,37,0,top
J6,~,CONN-TH_22035035,5.75,31.668503,0,top
J7,~,CONN-TH_22035035,5.75,26.25,0,top
J8,~,CONN-TH_22035035,5.72013,20.918503,0,top
J9,~,CONN-TH_22035035,5.75,15.5,0,top
J10,Conn_01x02,CONN-TH_B2B-PH-K-S,29.7,36.55,0,top
J11,B3B-PH-SM4-TB(LF)(SN),CONN-SMD_B3B-PH-SM4-TB-LF-SN,17.925,28.262509,180,top
J12,Conn_01x04_Pin,CONN-TH_B4B-PH-K-S,17.3,2.599999,0,top
J13,Conn_01x04_Pin,CONN-TH_B4B-PH-K-S,28.55,2.749999,0,top
VR1,10K trim,RES-ADJ-TH_3362P,15.459995,34.879996,180,top
